Sentence,Sentiment,Translated
চিৰস্থায়ী গান,1,Everlasting Songs
সুন্দৰ দাদা,1,Beautiful Brother
চুদুৰভাই টোহত হাজাৰ জন্ম লৈও শিল্পী হব নোৱাৰ,0,Chudurbhai can't be an artist even after thousands of births in toh
অসমীযা জাতিৰ অধপতন,0,Decline of Assamese nation
"আচলতে এইবোৰ হে বিহু, মোৰ মন জুৰ পেলাই দিলে


",1,"In fact, these are bihus, my mind is filled with flames.

"
আপুনি মৰি নজাই কিও অসম খন শান্তি ত থাকিব দিয়া নাই আপোনাৰ গান এ,0,You don't die or assam is not allowed to live in peace your song A
মতামত দিবলৈ ভাষা নাই,1,No language to give feedback
"
যেতিয়া অকলে নিজক বিচাৰো তেতিয়া এই গীতটি শুনো",1,"
Listen to this song when you want yourself alone"
"এনেকুৱা সোণালী সময়ৰ গান, কথাছবিবোৰ যাতে আগলৈও পাঁ‌ও । সেয়ে আশা কৰিলোঁ",1,Such golden time songs and films so that they can go ahead. So I expected
অসমৰ ছাগলী সেইটো কাম নাই ভিক্ষাৰীহতৰ অসমখন লেতেৰা কৰি দিছে,0,The goats of Assam that's not the job it's making the assam dirty of beggars
"গানটোৰ গভীৰ ভাৱ অৰ্থ নিজৰ দাদাৰ বাবে থকা মৰম, বেদনা আৰু অনোৰোধ সলাগীবলগীয়া",1,"The deep feeling of the song means the love, pain and inresistance for your grandfather."
আপুনি এতিয়াও কিয় মৰি যোৱা নাই?,0,Why are you not dead yet?
এতিয়া বিহু মানে জুবিন দা তেওঁৰ বাহিৰে আন কাৰো বিহু শুনিবলৈ ভাল নালাগে।,0,Now Bihu means Zubin Da No one but him likes to listen to Bihu.
তহঁতি সৰ্ম্পূন গেলালি অসমীয়াৰ গীতৰ মৰ্য্যাদা,0,They are related to the songs of Galali Assamese.
ঔকাদ সাই ভিদেও বনাবি,0,Okad Sai Video Banabi
"এই গানটো শুনিলে কলিজা বহুত জোৰেৰে ধপধপাই যায়,চকু পানীৰে উপচি পৰে",1,"Listening to this song makes Kalija blink very loudly, tears well up"
গানৰ শান্তি নিকেতনত,1,The peace of music in Niketan
"এই গানটোৱে আপোনাক অকলশৰীয়া হৈ থাকিব বিচাৰে আৰু আপোনাৰ মন, শৰীৰ আৰু আত্মা একেলগে সংৰেখিত কৰি শুনিব বিচাৰে",1,"This song makes you want to be alone and listen to your mind, body and soul aligned together"
এই ৰত্নটোৱে আপোনাক সকলো উত্তেজনা পাহৰি বলৈ বাধ্য কৰিব,1,This gemstone will make you forget all the excitement
এই গানটোৱে মোক মোৰ শৈশৱৰ কথা মনত পেলাই দিছে।,1,This song reminds me of my childhood.
একেবাৰে আগৰ দিনৰ বিহু নাচ লগতে গানটোও,1,The song is also a bihu dance of the same previous day.
গানটো শুনিলে গা সাতখন আঠখন হৈ যায়,1,Listening to the song becomes seven or eight
মোৰ আৰু ভাল লাগিছে যে অসমৰ বাহিৰৰ ইমানবোৰ শ্ৰুতাই গানটোক আকোৱালি লৈছে আৰু ইমান ধুনীয়া ধুনীয়া কমেণ্ট দিছে ।,1,I also like that so many listeners from outside Assam have embraced the song and given such a beautiful comment.
এইবোৰৰ মাক বাপেক নাই নেকি।,0,Don't these have parents?
এইটো অসমীয়া গীতৰ বাবে বিপদজনক সময়,0,This is a dangerous time for Assamese songs
ভুল হৈছে শুধৰাই দিয়ক,0,Correct mistake
আশা ভৰা গীতে আজি প্ৰাণ পালে,1,The song filled with hope has found its life today
এই গানটো এটা আৱেগ,1,This song is an emotion
এইবোৰ হে বিহু শুনিলে শুনি থাকিবৰ মন যায়,1,It's all you feel like listening to when you hear Bihu.
চিৰসেউজ গান,1,Evergreen Songs
তই নালাগে গাব,0,That's not what i need to sing
বৰ সুন্দৰ নিৰ্ভেজাল বিহু,1,Very beautiful unadulterated Bihu
বৰ মৰমলগা গান এইটো,1,Very cute song this
আপোনাৰ কণ্ঠস্বৰ হাঁহৰ দৰে,0,Your voice is like a duck
"এইটো পাগল , ই অসমখন শেষ কৰিব আহিল ",0,"It's crazy, it's come to end Assam. "
আৰে ভাই বাইদেউৰ কেইজনীৰ তপিনাত খজুৱতি হৈছে নেকি,0,Are some of his brothers and sisters itching?
মন ভৰি গ'ল,1,The mind is filled
এই গানটো কেৱল এটা গান নহয় এইটো এটা বুজাব নোৱাৰা আৱেগ।,1,This song is not just a song it is an incomprehensible emotion.
ফকতিয়া,0,fuktia
গান চোৰ কৰা  ফফৰা দালাল,0,Gun Thief Farra Dalal
"অতুলনীয় ! কি গীত , কি অভিনয়",1,"Unique! What songs, what acting"
অসমীয়া ভাষাৰ এই ইমান ধুনীয়া শব্দ বোৰ জানো ক'ত লুকাই আছিল,1,You know where these beautiful words of Assamese language were hidden.
এই আটাইতকৈ বেয়া সংগীত নুশুনিব,0,Don't listen to this worst music
ধন্যবাদ এটি আপুৰুগীয়া ভিডিঅ',1,Thank you a rare video
অভদ্ৰ চালা,0,rude drive
"আপুনি যি গাইছিল, ই সদায় মোৰ হৃদয় স্পৰ্শ কৰিব",1,"What you sang, it will always touch my heart"
কি গাইছাঁ এগলা খান,0,Ki Gaichha Egala Khan
এইবোৰ গানৰ কাৰণে অসমীয়া সংগীত উদ্যোগ পিছ পৰি আছে,0,Assamese music industry lags behind due to these songs
"যেতিয়া আপুনি ভাবে যে ই আৰু হাস্যকৰ হ'ব নোৱাৰে, তেওঁ আপোনাৰ প্ৰত্যাশা অতিক্ৰম কৰে",0,"When you think it can't be funny anymore, he exceeds your expectations"
অৰ্থহীন ভাষা লগতে সাজ পাৰৰ কোনো ধৰণ কৰণ নাই,0,There is no way to dress up with meaningless language
এনকুৱা পুৰনি গান বোৰ সংৰক্ষণ কৰিব লাগে,1,Enkua old songs should be saved
ভৱিষ্যতেও এনেধৰণৰ সুৰৰ বৰষুণ আশা কৰিলোঁ,1,We expected such a rain of tunes in the future as well.
আঃহ সেই দিনবোৰ,1,"Ah, those days "
কি কম পাগল হম মই,0,What less crazy I'll be
আশ্চৰ্যকৰ ৰচনা,1,Amazing composition
ক'বলৈ ভাষা নাই,1,No language to speak
ইমানেই ভাল পাওঁ এইটো গীত যাক শব্দৰ জড়িয়তে প্ৰকাশ কৰিব নোৱাৰো,1,I love this song so much that it cannot be expressed through words
ইমান ইতিবাচক আৱেগ,1,So much positive emotion
লেঙেৰা পেঙেৰা কুকুৰে ভুকী থকা যেন হৈছে,0,The lame lame dog seems to be barking
গীতটোৰ প্ৰতিটো কথাই অৰ্থপূৰ্ণ।,1,Everything in the song makes sense.
আপোনাৰ গানটো ভেকুলীৰ গানৰ দৰে,0,Your song is like a frog song
কোনো সুৰ নাই,0,No tone
তহঁতৰ দৰে এচাম উদণ্ড গায়কৰ বাবে অসমীয়া কৃষ্টি-সংস্কৃতি শেষ হৈছে,0,Assamese culture is over for assam ese singers like them
অসমৰ শ্ৰেষ্ঠ গীত,1,Best Songs of Assam
১০ মিনিট ৰ গান পোৰা শুনিলে মৰি থাকিম,0,I'll die when I hear 10 minutes of music burning
আপোনা লোকৰ এই ধৰণৰ সৃষ্টিয়ে অসমীয়া গীতক অন্য এক মাত্ৰা দিছে,1,This kind of creation of yours has given another dimension to Assamese songs.
এইবিলাক গীত অসমীয়া মানুহৰ বাবে তেজৰ দৰে,1,These songs are like blood for assamese people
মই এই গানটোৰ প্ৰেমত আৰোগ্য হোৱাৰ ওপৰত মূৰ দাঙি ছোঁ,1,I'm raising my head over healing in love with this song
এই গানটোৱে মোৰ মনক সতেজ কৰি তুলিছে,1,This song refreshes my mind
যেতিয়া মই অকলে থাকো আৰু মই সুৰাপান কৰোঁ তেতিয়া এই গানটো মোৰ অততকৈ প্ৰিয় হয়,1,This song is so dear to me when I am alone and I am drunk
মোৰ কাণৰ পৰা তেজ ওলাইছে,0,I have blood coming out of my ear
কবলৈ শব্দ নাই কিমান ভাল লাগিল,1,No sound to say how nice it was
এইটো শুনি মই মৰিছোঁ,0,I'm dead after hearing this
এই গানটো শুনি মোৰ বৃক্কৰ হৃদযন্ত্ৰৰ আক্ৰমণ হৈছিল,0,I had a kidney heart attack when I heard this song.
কোনোবাই আপোনাৰ খাদ্যবিষাক্ত কৰিব লাগিব,0,Someone has to poison your food
কালজয়ী গীত,0,classic song
হে ভগৱান আজি অসমী হোৱাৰ বাবে ইমান লাজ পাইছো,0,"Oh God, I am so ashamed to be Assamese today."
মল-মূত্ৰ,0,excreta
কি নিৰ্ভাজ বিহু.,1,What a fearless bihu.
গাণ আৰু গায়ক মানিব লাগিব,1,Must obey the singer and the singer
শুদ্ধকৈ গাবা,0,Sing correctly
জুবিন্দাৰ কি এক আৱেগিক আশ্চৰ্যকৰ গান,1,What an emotionally amazing song from Zubinda
মজা,1,fun
শৌচাগাৰৰ ফালে পাৰ্টি কৰক,0,Party towards the toilet
কুকুৰে কেতিয়া ও গূ খাব এৰি নিদিয়ে,0,When does the dog not give up eating cow
"কণ্ঠস্বৰ, সংগীত, সকলোবোৰ কেৱল নিখুঁত।",1,"The voice, the music, everything is just perfect."
বাৰে বাৰে শুনি ও আমনি নলগা এক হৃদ়স্পৰ্শী গীত এইটো,1,This is a heartwarming song that is not boring and heard again and again.
কুত্তা তুমি গাব জানা,0,Dog you know the cow
গানটো শুনিছো কিন্ত্ত ভিডিঅটো চোৱা নাছিলো।সছাকৈ এইবোৰ গানৰ ওচৰত বৰ্তমান গানবোৰে পাত্রা ই নাপাব,1,Listen to the song but didn't watch the video. These songs will not be approached by the current songs.
মানে কি কব বিচাৰিছে,0,What do you mean by what you want to say?
গাৰ নুম শিয়ৰি  গৈছে,1,Gar num is shirshi ya
ভাল লগা নাই,0,Don't like it
গান হ'লে এনেকুৱা হ'ব লাগে।,1,This is what should happen if there is a song.
হেডফোন ব্যৱহাৰকাৰীসকলৰ বাবে মোৰ বেয়া অনুভৱ হৈছে,0,I feel bad for headphone users
শুনি ভাল লাগিল আশা কৰো এনে আধুনিক গীত আৰু শুনিবলৈ পাম।,1,It's nice to hear i hope to hear such modern songs and more.
গৰু চোৰ,0,Cow Thief
এনেকুৱা মহিলাই বহুতো পুৰুষক পংগু কৰি আহিছে,0,Such women have been crippled many men.
সকলোত কৈ প্ৰিয় বিহুগীতটি  এই গান টো নাবাজিলে বিহু যেন এ নালাগে,1,Bihu doesn't look like it if the song is played by the favourite song in everyone.
অনুভৱ জগাই তোলে এনে গানে।,1,The feeling arouses in the song.
গান বোৰ কি সকলোৱে নিল আকাশৰ পৰাই চোৰ কৰি কৰি গাব নেকি?নিজৰ মালটো ব্যৱহাৰ কৰা,0,Will everyone steal the songs from the sky and sing them? Use their goods
গান নগাবলৈ আপোনাক অনুৰোধ কৰক,0,Request you not to sing
কেৱল ভাবি আচৰিত হৈছো যে এই গানটোৱে কেনেকৈ অসমসংগীত উদ্যোগৰ সকলো সলনি কৰি দিছিল।,1,Just wondering how this song changed everything in the assamese music industry.
ক্লা কাণৰ পৰা তেজ ওলাই গল,0,Blood came out of the ears of the class
চাপৰি,0,sapari
মই ভাল পোৱা বিহু গান এই খনও এখন মন পুৰা ভাল লাগি যায় |,1,Bihu song I love is also a mind-filled |
ধুউউৰৰৰৰৰৰ,0,of Dhurur
মই কেৱল বুজাব নোৱাৰো যে মই আপোনাৰ গানবোৰ কিমান ভাল পাওঁ।,1,I just can't explain how much I love your songs.
আপোনাৰ সুন্দৰ সৃষ্টিৰ উপমা দিবলৈ যেন মোৰ হাতত বিশেষণীয় বিশেষণ নাই,1,I don't have a unique adjective to give you the analogy of beautiful creation.
আপোনাৰ কণ্ঠস্বৰ অসহনীয়,0,Your voice is unbearable
যদিও মই উঠি অহা প্ৰজন্মৰ (১৭ বছৰ)তথাপিও এই ধৰনৰ  বিহুকহে প্ৰাধান্য দিঁও ।,1,"Even though I am a rising generation (17 years old), give priority to this kind of bihu."
গানটো কিয় শেষ হয় ও,1,Why does the song end?
শুনিলেই নাছো নাছো লাগি যায়।,1,I don't want to hear it.
ভুলবোৰ পিছলৈ শুধৰাবা,0,Correct mistakes back
গানটোৰ প্ৰসংশা কৰাৰ ভাষাই নাই,1,There is no language to praise the song
কেলা কি পাগল,0,Kela is crazy
অসমীয়াৰ সন্মান শেষ কৰি দিছে ইহঁতে,0,They have destroyed the honour of Assamese
শুনি আবেগিক হৈ গলো। এইবাৰ যে বিহু মাৰিবলৈ নাপাও,1,I was emotional when i heard it. Don't get to kill Bihu this time
ফালটো গান শুনিবলৈ মন নাজাই,0,Don't feel like listening to the song on the side
মানুহে এবাৰ শুনিলে কাৰ্ডিঅ' আক্ৰমণ হ'ব,0,A cardio attack will occur once people hear
বাপেৰৰ মাৰৰ মূৰটো কুকুৰপুৱালী হত,0,Baper's head would have been a dog's morning
ভাল লগা নাই।,0,Don't like it.
ইমান প্ৰাণৱন্ত,1,So lively
কুকুৰে ভুকি আছে,0,The dog is barking
গীতৰ কথা আৰু সুৰ ভাল লাগিল,1,Liked the lyrics and tone of the song
তহতক কুকুৰ বুলি কলেও কুকুৰকেইটাক হে অপমান কৰা হব,0,"Even if they are called dogs, only dogs will be insulted."
মই গোটেই বছৰটো শুনা আটাইতকৈ ধুনীয়াকৈ গোৱা আৰু প্ৰযোজিত গান,1,The most beautifully sung and produced songs I have heard all year
একো বুজি পোৱা নাই,0,Don't understand anything
ভাল ভিডেও বনোৱা কৰ,0,Make good videos too
মা কছম মজ্জা,1,Maa Kasam Majja
কি মানে কি এইবোৰ,0,What do you mean by these
অৰ্থহীন গান,0,meaningless song
"বাপেৰৰ মূৰটো গাইছা।। 
",0,"Baper's head is singing. 
"
উৎকৃষ্ট আৰু মন উজাৰি দিয়া গান,1,Excellent and mind-blowing songs
আনতকৈ বেলেগ ব্যতিক্ৰম খুব ধুনীয়া লাগিল,1,The exception seemed very beautiful than others.
এই গানটো স্বাস্থ্যৰ বাবে কৰ্কট ৰোগ,0,This song is a cancer for health
এই যুগৰ আটাইতকৈ বেয়া গায়ক,0,The worst singers of this era
সম্পূৰ্ণ গানটো শুনিলে পাগল হৈ যাম,0,I'll go crazy when I hear the whole song
গানটো বেয়া,0,The song is bad
ছবে গালি দিবলে আহিছে গান শুনিব অহা নাই,0,Sabe has come to abuse and doesn't come to listen to music
ইমান সুন্দৰ বিহু। মনটো গাওঁখনলৈ উৰা মাৰিছে।,1,Such a beautiful Bihu. The mind is flying to the village.
অই জোহৰা,0,Oi Johra
ফালটো এইসব,0,The side is all this
কি গান বনালে দাদা মজা লাগে গানটো,1,What a song dada fun to make the song
এনেহেন বিহু শুনিলে বিহু বিহু বুলি এক বিশেষ ধৰণৰ মনত আলোড়ন সৃস্টী হয়,1,Hearing such bihu creates a stir in a particular mind called Bihu Bihu.
হৃদয়ৰ খবৰ লোৱা গীতটি,1,Heart News Song
ভেকুলীৰ গান আপোনাতকৈ ভাল,0,Frog song is better than yours
চিৰসেউজীয়া গীত,1,Evergreen Song
হৃদয় জুৰ পৰি গৈছে,1,The heart is in flames
নাজানিছিলো যে অসমী গানবোৰ এইটো ভাল আছিল,1,Didn't know that Assamese songs were good.
এইবোৰক হে প্ৰকৃত গীত বুলি কব পাৰি সঁচা অৰ্থত চিৰসেউজ গীত।,1,These can only be called real songs.
বেশ্যাৰ পুত্ৰ,0,Son of a
এই আধিপত্য দেখি মই মৰিব বিচাৰো,0,I want to die seeing this dominance
খুব বেয়া,0,Very bad
মেকচুদাই,0,mekchudai
অনুগ্ৰহ কৰি এই ধৰণৰ ভিডিঅ' বনোৱা বন্ধ কৰক,0,Please stop making this type of video
বান্দৰ মোককেল,0,Monkey Mokkel
মই অৰ্থ বুজি নাপাওঁ কিন্তু এই গানটোৰ সুৰটো মন উজাৰি দিয়া।,1,I don't understand the meaning but the tone of this song is mind blowing.
গান শুনাৰ আগতে লাইক কৰি দিয়া মানুহ মই,1,I'm a man who likes music before listening to music
"কি যে মিঠা, যিমানেই পুৰণি হয় সিমানেই মজা",1,"What a sweet, the older it is, the more fun it is"
অই বুঢ়া বান্দৰ,0,Oi Old Monkey
এয়া হৈছে আন্তৰ্জাতিক পৰ্যায়ৰ সংগীত।,1,This is international music.
ইমান বেযা ভাষা ব্যবহাৰ কৰিব নালাগে,0,So much language should not be used
শৈশৱৰ এই গান,1,This childhood song
এইয়া অসমীয়া গানৰ জয় যাত্ৰা,1,Here's the victory journey of Assamese songs
পাগল গায়ক আৰু গায়িকা,0,Crazy singers and singers
প্ৰতাৰক,0,cheat
বেয়া লাগিল,0,it felt bad
অসমীয়া অতিতৰ‌ গীত,0,Assamese Songs
অৰ্থহীন গান,0,meaningless song
"অসমীয়া বিহুৰ মা-বেহেন এক কৰি দিলি,সস্তীয়া জনপ্ৰিয়তাৰ আশাত",0,"Assamese Bihu's mother-in-law unites, hoping for cheap popularity"
এই গানটো যিমান সম্ভৱ সোনকালে আঁতৰাব লাগিব,0,This song has to be removed as soon as possible
আটাইতকৈ বেয়া,0,worst
আও ধুনীয়া ভিডিও,1,Aao Beautiful Videos
নিচাযুক্তভাৱে সুমধুৰ,1,intoxicatingly sweet
ক'ত হেৰাল সেই বিহুবোৰ আজিও যদি শুনিব পালো হেতেন এনেকুৱা বিহু।এইবোৰহে বিহু শুনিলেই নাছো নাছো লাগি যায়।,1,"If you could have heard those bihus today where they are lost, such bihu. These are not the ones that get stuck when they hear Bihu."
অন্তৰ জুৰ পৰি গল এই সুমধুৰ বিহুৰ উপস্থাপন দেখি,1,The heart fell on seeing this melodious bihu presentation.
বাল গান,0,Bal Gun
চুলি কাটি লো আগত,0,Cut your hair in advance
ধন্যবাদ গীত চোৱাৰ সুবিধা কৰি দিয়াত,1,Thank you for allowing you to watch the song
নক্ষত্ৰীয় গান,1,star song
আপুনি পাগল কুকুৰে খোৱা মটন খায় নেকি?,0,Do you eat mutton eaten by a mad dog?
তুমি সুৰৰ পৃথিবিত উদিত সূর্য্য,1,You are the rising sun on the earth of the tune
বৰ সুন্দৰ লাগিল সচাঁকৈয়ে ।,1,It really looked great.
"বৰ ভাল লাগিল । বহুত ধন্যবাদ।


",1,"It's great. Thank you very much.

"
এই গানটোৰ প্ৰতি মোৰ প্ৰেম কেতিয়াও শেষ হোৱা নাই,1,My love for this song has never ended
দাদা আপুনি মহান,1,"Dada, you are great "
প্ৰতিনিশা মই এই গানটো শুনো,1,Every night I listen to this song
মোৰ কানৰ পৰা তেজ ওলাই আহিলে,0,When blood comes out of my ear
এইবিলাকক কয় গান,1,These are called songs
আজি কালি ওলোৱা গীত বোৰক মই গীত বুলিলেই নাভাবো,0,I don't think of the songs that come out these days as songs.
বিশুদ্ধ মোক্কেল কেলা,0,Pure Mokkel Kela
"আজৈ কলিজা কি সুন্দৰ গীত, উজ্জ্বল ভৱিষ্যত কামনা কৰিলোঁ দেই দাদা জয় আই অসম",1,"Aaji Kalija ki sundar geet, ujjwal bhavistha kamana dei dada jai ai assam"
যদি মই কেতিয়াবা আপোনাক বিচাৰি পাওঁ মই তোমাক হত্যা কৰিম,0,If I ever find you I'll kill you
গীতৰ কথাত হতাশ। ইমান বেয়া গীত,0,Disappointed with the lyrics. Such a bad song
এনেকে গান গাই গাই আনৰ মাথা গৰম কৰিছে কিয়।,0,Why is it that others' heads are warmed by singing like this.
জুবিন গাৰ্গৰ কি সুন্দৰ কণ্ঠ!,1,What a beautiful voice of Zubin Garg!
প্ৰতাৰক ।,0,Cheat.
সৰ্বকালৰ প্ৰিয় গান,1,Favorite Songs of All Time
শুদ্ধ অসমীয়া শব্দৰ গান,1,Pure Assamese word song
অসামান্য গান,1,Outstanding Songs
এয়া লজ্জাজনক যে অসমীয়া ছোৱালীয়ে  অৰ্ধ নগ্ন শৰীৰ  দেখুৱায়,0,It is a shame that Assamese girls show half naked bodies
কালজয়ী গীত,1,classic song
এইবোৰ গান যে অদ্বিতীয় ইয়াক কতো বিচাৰি নাপাও,1,These songs are unique that you can't find it anywhere
অসন্মানজনক,0,disrespectful
চি ফকতিয়া আৰ্টিষ্ট,0,C. Foxtia Artist
শেষ হোৱাৰ দিশে অসমীয়াৰ বাপতি সাহোন বিহু,0,Assamese bapati Sahon Bihu towards its end
আনন্দিত,1,glad
গান গাব নাজানিলে গাব নালাগে,0,Don't sing if you don't know how to sing
গান বনোৱা বন্ধ কৰক,0,Stop making songs
ইমান অপমান পায়ো লাজ পোৱা নাই,0,I'm not ashamed to get so much humiliation
আপোনাৰ দৰে গায়কমৰিব লাগিব,0,You have to die as a singer
ভিডিও টোৰ একো লজিকেই নাই।,0,The video has nothing logic.
নতুন বিহু গীত বোৰ এবাৰ শুনাৰ পিছত আকৌ শুনিব মন নাযায়।,0,I don't feel like listening to the new Bihu songs once you hear them again.
হিচাবতকৈ গানটো অলপ চুটি,0,The song is a little shorter than the account
কি কৰিছা বে কি ফালটো,0,What are you doing?
"এয়াহে বিহুনাম,আগলৈও আশা কৰিলো",1,"This is Bihunam, i hope so far."
শুনিলে শুনি থাকিবলৈ মন যায়,1,It's mind to listen when you hear it
খাটি চিৰ যুগমীয়া অসমীয়া গীত।,1,The age-long Assamese song of Khati Chi.
কিংবদন্তী,1,legendary
দিনক দিনে  আমাৰ অসমীয়াৰ জাতিৰ অস্তিত্ব হেৰাই যাব ধৰিছে,0,Day by day the existence of our Assamese nation is getting lost
বেয়া সময়বোৰ ত এনেকুৱা গান লাগে,1,Bad times take such songs
সৰু কালৰ স্মৃতি প্ৰস্ফুটিত হল।,1,Memories of childhood blossomed.
বেয়া গীত,0,bad song
ইমান ভাল সুৰটো সস্তীয়া শব্দেৰে নষ্ট কৰি দিলা,0,Destroyed such a good tune with cheap words
অশ্লীল গীত,0,obscene song
তুমি সদায় আমাৰ মাজত জিয়াই থাকিবা,1,You will always be in our midst
এটা ভাল গানৰ লগতে এটা ভাল ভিডিঅ,1,A good song as well as a good video
অত্যাধিক সুন্দৰ কণ্ঠস্বৰ,1,Extremely beautiful voice
"গানটি শুনিলে প্ৰকৃতিৰ মাজত বিলীন হৈ পৰো য'ত থাকে বতাহ, বৰষুণ, মেঘৰ বজ্ৰপাত, চৰাইৰ সুৰীয়া আলাপ",1,"Listening to the song dissolves in nature which includes wind, rain, cloud thunder, bird's beautiful talk"
অসমীয়া সংগীত নতুনত্ব অনা প্ৰথম জন অসমীয়া এই জন শিল্পী,1,This is the first Assamese artist to innovate Assamese music
অই গেডা মোক্কেল,0,Oi Geda Mokkel
এই গানটোতকৈ কাউৰীৰ মাত ভাল।,0,The crow has a better voice than this song.
এইবোৰৰ মাক বাপেক নাই নেকি,0,Don't they have parents?
জুবিন দাৰ ডাঙৰ অনুৰাগী,1,Zubin Dar big fan
ধন্যবাদ ইমান মধুৰ গীত এটি আমাক উপহাৰ দিয়াৰ বাবে,1,Thank you for gifting us such a sweet song
"দাদা গানটো ভুল হৈছে


",0,"Dada song is wrong

"
কোনোবাই ইমান বেয়া কেনেকৈ কৰিব পাৰে?,0,How can anyone do so bad?
মই শব্দৰ বাহিৰত স্তম্ভিত হৈ ছোঁ। এই গানটো ইমান ভাল,1,I'm stunned beyond words. This song is so good
চিৰসেউজ,1,evergreen
আগৰ গানবোৰ সচাঁই বহুত ভাল আছিল,1,The previous songs were really very good.
আপোনাৰ সমান কোনো হব নোৱাৰে,1,No one can be equal to you
অসমৰ এটা সম্পত্তি,1,A property in Assam
গান টো ফালটো,0,The song is on the side
"মহানন্দ মজিন্দাৰ বৰুৱা ,খগেন মহন্ত আদিৰ সেই পুৰণি বিহু গীত বোৰ শুনাৰ আমেজেই সুকীয়া",1,"It is different to listen to those old Bihu songs of Mahanand Majindar Baruah, Khagen Mahanta etc."
নিভাজ বিহু গীত,1,Nivaj Bihu Song
মৰি যাম অ,0,Die
ভালকৈ শুনি লবা যে গানটোত কি গাইছে,0,Listen carefully to what sings in the song
নষ্ট কৰি দিলা।,0,Destroyed.
কেৱল গানটোৰ অনুভৱ ভাল পাওঁ,1,Just love the feeling of the song
তোমাৰ গান শুনিলে সকলো পাহৰি কোনোবা আলোক দিগন্ত ত বিলীন হৈ যাওঁ,1,"When we listen to your songs, we forget everything and dissolve in some light horizon."
আপোনাৰ গানটো গোবৰৰ দৰে,0,Your song is like dung
বুঢ়া শিয়াল,0,old fox
মই মাত্ৰ ক'ব বিচাৰিছিলো যে এইটো এটা আটাইতকৈ বেয়া সংগীত,0,I just wanted to say that this is one of the worst music
ভাই আপুনি জুই,1,Brother you fire
প্ৰিয় মোৰ এই গানটো।,1,Dear my song.
তই গান গাবলৈ নাজানো,0,Don't know how to sing
আই অই মই কতে মৰো অই,0,I'm ai i'll tell you oi
গোটেই খন একেবাৰে ছেটেৰিং কৰি পেলাইছে,0,The whole thing is absolutely set.
আপোনি সদায় ৰাইজৰ মাজত থাকক বাকী আপোনাক জনপ্ৰিয়তাৰ শীষৰ্ত ৰখাতো আমাৰ দায়িত্ব ।,1,It is our responsibility to always be in the public and keep the rest of you on the edge of popularity.
এইটো দেখি মই মৰিব বিচাৰো,0,I want to die seeing this
কি সংবেদনশীল গান! শুনিলেই গাত এক জুৱাৰ উঠি আহে।এনে এটি গীত উপহাৰ দিয়াৰ বাবে ধন্যবাদ ।,1,"What a sensitive song! When you hear it, a yoke comes up. Thank you for gifting such a song."
জুবিন দা অ হোইটো নাজানে... কি গান বোনাই ডিলে তেওঁ।,1,Zubin da o Hoito doesn't know... What a song he made.
এইটো ৰাস্তাৰ কাষত শৌচ কৰা হয়,0,It is defecated on the side of the road
কি ফালটো গান,0,What a side song
এতিয়ালৈকে আটাইতকৈ মূল্যহীন গান,0,The most worthless song ever
ক্ৰিঞ্জ মানুহ,0,Kringe Man
গান এৰি আন এটা কাম আৰম্ভ কৰক,0,Quit singing and start another task
অসমীয়া বিহুৰ সন্মানত আঘাত হানিছে,0,Assamese Bihu honour hurt
জীৱন ৰিঙা ক্ষণত  পাপনদা তোমাৰ গীত মোৰে প্ৰাণত,1,Papanda at the moment of life your song Mere Pranat
দিশ্লিকে কৰা আৰম্ভ কৰক,0,Start doing the direction
শুনি শুনি আমনি নলগা গীতটি,1,The song that is not boring when you hear it
হতাশাৰ পৰা পৰিত্ৰাণ পোৱা এটি গীত,1,A song that escapes despair
আপুনি আৰু গান গাব নালাগে,0,You don't have to sing anymore
বিশুদ্ধ সোণৰ দৰেই বিশুদ্ধ বিহু,1,Pure Bihu just like pure gold
অাৰু ভূলিত ও নহুনো যাৰ গান,0,And forget and not whose songs
মই এই গানটো বাৰে বাৰে বজাইছিলো,1,I played this song over and over again
আমি তোমাক আৰু তোমাৰ গানবোৰ ভাল পাওঁ।,1,We love you and your songs.
সেই ছোৱালীজনী চিকিৎসক নহয় তাইক এজন চিকিৎসকৰ প্ৰয়োজন।,0,That girl is not a doctor she needs a doctor.
অনুগ্ৰহ কৰি প্ৰথমে গান এটা গাবলৈ শিকক,0,Please learn to sing a song first
মজ্জা লাগিল,1,Marrow struck
ইমান ধুনীয়া মাত এই জনমত এনেকুৱা গায়ক নলাব,1,Don't make such a singer in this public opinion with such a beautiful voice
পোৰা নমুনা,0,Burnt Sample
কাতি বিহুৰ ক্ষণত লগাই অকলে নাচি আছো ৰুমতে,1,Dancing alone at kati bihu's moment
এবছৰত মাত্র এটা গান কিন্তু তামাম হীট.,1,Only one song in a year but tamam hit.
টকাৰ কাৰণে কিমান তললৈকে যাবি হে,0,How far will you go for money?
"বাপেৰোৰ মুৰ্তু গাইচো কেলা, গান তু শুনি বমি অহি গোল ছালা",0,"Bapero's Murtu Gaiso Kela, Sing Tu Sune Bhimi Ahi Gol Sala"
এই ভন্দামীবোৰ বন্ধ কৰক,0,Stop these hypocrisies
অসমীয়া বিহুৰ সন্মানত আঘাত হানিছে,0,Assamese Bihu honour hurt
লেতেৰা,0,Unclean
