Sentence,Sentiment
অনুভৱ জগাই তোলে এনে গানে।,1
গান বোৰ কি সকলোৱে নিল আকাশৰ পৰাই চোৰ কৰি কৰি গাব নেকি?নিজৰ মালটো ব্যৱহাৰ কৰা,0
গান নগাবলৈ আপোনাক অনুৰোধ কৰক,0
কেৱল ভাবি আচৰিত হৈছো যে এই গানটোৱে কেনেকৈ অসমসংগীত উদ্যোগৰ সকলো সলনি কৰি দিছিল।,1
ক্লা কাণৰ পৰা তেজ ওলাই গল,0
চাপৰি,0
মই ভাল পোৱা বিহু গান এই খনও এখন মন পুৰা ভাল লাগি যায় |,1
ধুউউৰৰৰৰৰৰ,0
মই কেৱল বুজাব নোৱাৰো যে মই আপোনাৰ গানবোৰ কিমান ভাল পাওঁ।,1
আপোনাৰ সুন্দৰ সৃষ্টিৰ উপমা দিবলৈ যেন মোৰ হাতত বিশেষণীয় বিশেষণ নাই,1
আপোনাৰ কণ্ঠস্বৰ অসহনীয়,0
যদিও মই উঠি অহা প্ৰজন্মৰ (১৭ বছৰ)তথাপিও এই ধৰনৰ  বিহুকহে প্ৰাধান্য দিঁও ।,1
গানটো কিয় শেষ হয় ও,1
 শুনিলেই নাছো নাছো লাগি যায়।,1
ভুলবোৰ পিছলৈ শুধৰাবা,0
গানটোৰ প্ৰসংশা কৰাৰ ভাষাই নাই,1
কেলা কি পাগল,0
অসমীয়াৰ সন্মান শেষ কৰি দিছে ইহঁতে,0
শুনি আবেগিক হৈ গলো। এইবাৰ যে বিহু মাৰিবলৈ নাপাও,1
ফালটো গান শুনিবলৈ মন নাজাই,0
মানুহে এবাৰ শুনিলে কাৰ্ডিঅ' আক্ৰমণ হ'ব,0
বাপেৰৰ মাৰৰ মূৰটো কুকুৰপুৱালী হত,0
ভাল লগা নাই।,0
ইমান প্ৰাণৱন্ত,1
কুকুৰে ভুকি আছে,0
গীতৰ কথা আৰু সুৰ ভাল লাগিল,1
তহতক কুকুৰ বুলি কলেও কুকুৰকেইটাক হে অপমান কৰা হব,0
মই গোটেই বছৰটো শুনা আটাইতকৈ ধুনীয়াকৈ গোৱা আৰু প্ৰযোজিত গান,1
একো বুজি পোৱা নাই,0
ভাল ভিডেও বনোৱা কৰ,0
মা কছম মজ্জা,1
কি মানে কি এইবোৰ,0
অৰ্থহীন গান,0
"বাপেৰৰ মূৰটো গাইছা।। 
",0
উৎকৃষ্ট আৰু মন উজাৰি দিয়া গান,1
আনতকৈ বেলেগ ব্যতিক্ৰম খুব ধুনীয়া লাগিল,1
এই গানটো স্বাস্থ্যৰ বাবে কৰ্কট ৰোগ,0
এই যুগৰ আটাইতকৈ বেয়া গায়ক,0
সম্পূৰ্ণ গানটো শুনিলে পাগল হৈ যাম,0
গানটো বেয়া,0
ছবে গালি দিবলে আহিছে গান শুনিব অহা নাই,0
ইমান সুন্দৰ বিহু। মনটো গাওঁখনলৈ উৰা মাৰিছে।,1
অই জোহৰা,0
ফালটো এইসব,0
কি গান বনালে দাদা মজা লাগে গানটো,1
এনেহেন বিহু শুনিলে বিহু বিহু বুলি এক বিশেষ ধৰণৰ মনত আলোড়ন সৃস্টী হয়,1
হৃদয়ৰ খবৰ লোৱা গীতটি,1
ভেকুলীৰ গান আপোনাতকৈ ভাল,0
চিৰসেউজীয়া গীত,1
হৃদয় জুৰ পৰি গৈছে,1
নাজানিছিলো যে অসমী গানবোৰ এইটো ভাল আছিল,1
এইবোৰক হে প্ৰকৃত গীত বুলি কব পাৰি সঁচা অৰ্থত চিৰসেউজ গীত।,1
বেশ্যাৰ পুত্ৰ,0
এই আধিপত্য দেখি মই মৰিব বিচাৰো,0
খুব বেয়া,0
মেকচুদাই,0
অনুগ্ৰহ কৰি এই ধৰণৰ ভিডিঅ' বনোৱা বন্ধ কৰক,0
বান্দৰ মোককেল,0
মই অৰ্থ বুজি নাপাওঁ কিন্তু এই গানটোৰ সুৰটো মন উজাৰি দিয়া।,1
গান শুনাৰ আগতে লাইক কৰি দিয়া মানুহ মই,1
"কি যে মিঠা, যিমানেই পুৰণি হয় সিমানেই মজা",1
অই বুঢ়া বান্দৰ,0
এয়া হৈছে আন্তৰ্জাতিক পৰ্যায়ৰ সংগীত।,1
ইমান বেযা ভাষা ব্যবহাৰ কৰিব নালাগে,0
শৈশৱৰ এই গান,1
এইয়া অসমীয়া গানৰ জয় যাত্ৰা,1
"পাগল গায়ক আৰু গায়িকা",0
প্ৰতাৰক,0
বেয়া লাগিল,0
অসমীয়া অতিতৰ‌ গীত,0
অৰ্থহীন গান,0
"অসমীয়া বিহুৰ মা-বেহেন এক কৰি দিলি,সস্তীয়া জনপ্ৰিয়তাৰ আশাত",0
এই গানটো যিমান সম্ভৱ সোনকালে আঁতৰাব লাগিব,0
আটাইতকৈ বেয়া,0
আও ধুনীয়া ভিডিও,1
 নিচাযুক্তভাৱে সুমধুৰ,1
ক'ত হেৰাল সেই বিহুবোৰ আজিও যদি শুনিব পালো হেতেন এনেকুৱা বিহু।এইবোৰহে বিহু শুনিলেই নাছো নাছো লাগি যায়।,1
অন্তৰ জুৰ পৰি গল এই সুমধুৰ বিহুৰ উপস্থাপন দেখি,1
বাল গান,0
চুলি কাটি লো আগত,0
ধন্যবাদ গীত চোৱাৰ সুবিধা কৰি দিয়াত,1
নক্ষত্ৰীয় গান,1
আপুনি পাগল কুকুৰে খোৱা মটন খায় নেকি?,0
তুমি সুৰৰ পৃথিবিত উদিত সূর্য্য,1
বৰ সুন্দৰ লাগিল সচাঁকৈয়ে ।,1
"বৰ ভাল লাগিল । বহুত ধন্যবাদ।

",1
এই গানটোৰ প্ৰতি মোৰ প্ৰেম কেতিয়াও শেষ হোৱা নাই,1
দাদা আপুনি মহান ,1
প্ৰতিনিশা মই এই গানটো শুনো,1
মোৰ কানৰ পৰা তেজ ওলাই আহিলে,0
এইবিলাকক কয় গান,1
আজি কালি ওলোৱা গীত বোৰক মই গীত বুলিলেই নাভাবো,0
বিশুদ্ধ মোক্কেল কেলা,0
"আজৈ কলিজা কি সুন্দৰ গীত, উজ্জ্বল ভৱিষ্যত কামনা কৰিলোঁ দেই দাদা জয় আই অসম",1
যদি মই কেতিয়াবা আপোনাক বিচাৰি পাওঁ মই তোমাক হত্যা কৰিম,0
গীতৰ কথাত হতাশ। ইমান বেয়া গীত,0
এনেকে গান গাই গাই আনৰ মাথা গৰম কৰিছে কিয়।,0
 জুবিন গাৰ্গৰ কি সুন্দৰ কণ্ঠ! ,1
প্ৰতাৰক । ,0
সৰ্বকালৰ প্ৰিয় গান,1
শুদ্ধ অসমীয়া শব্দৰ গান,1
অসামান্য গান,1
এয়া লজ্জাজনক যে অসমীয়া ছোৱালীয়ে  অৰ্ধ নগ্ন শৰীৰ  দেখুৱায়,0
কালজয়ী গীত,1
এইবোৰ গান যে অদ্বিতীয় ইয়াক কতো বিচাৰি নাপাও,1
অসন্মানজনক,0
চি ফকতিয়া আৰ্টিষ্ট,0
শেষ হোৱাৰ দিশে অসমীয়াৰ বাপতি সাহোন বিহু,0
আনন্দিত,1
গান গাব নাজানিলে গাব নালাগে,0
গান বনোৱা বন্ধ কৰক ,0
ইমান অপমান পায়ো লাজ পোৱা নাই,0
আপোনাৰ দৰে গায়কমৰিব লাগিব,0
ভিডিও টোৰ একো লজিকেই নাই। ,0
নতুন বিহু গীত বোৰ এবাৰ শুনাৰ পিছত আকৌ শুনিব মন নাযায়।,0
হিচাবতকৈ গানটো অলপ চুটি,0
কি কৰিছা বে কি ফালটো,0
"এয়াহে বিহুনাম,আগলৈও আশা কৰিলো",1
 শুনিলে শুনি থাকিবলৈ মন যায়,1
খাটি চিৰ যুগমীয়া অসমীয়া গীত।,1
কিংবদন্তী,1
দিনক দিনে  আমাৰ অসমীয়াৰ জাতিৰ অস্তিত্ব হেৰাই যাব ধৰিছে,0
বেয়া সময়বোৰ ত এনেকুৱা গান লাগে,1
সৰু কালৰ স্মৃতি প্ৰস্ফুটিত হল।,1
বেয়া গীত,0
ইমান ভাল সুৰটো সস্তীয়া শব্দেৰে নষ্ট কৰি দিলা,0
অশ্লীল গীত,0
তুমি সদায় আমাৰ মাজত জিয়াই থাকিবা,1
এটা ভাল গানৰ লগতে এটা ভাল ভিডিঅ,1
অত্যাধিক সুন্দৰ কণ্ঠস্বৰ,1
"গানটি শুনিলে প্ৰকৃতিৰ মাজত বিলীন হৈ পৰো য'ত থাকে বতাহ, বৰষুণ, মেঘৰ বজ্ৰপাত, চৰাইৰ সুৰীয়া আলাপ",1
অসমীয়া সংগীত নতুনত্ব অনা প্ৰথম জন অসমীয়া এই জন শিল্পী,1
অই গেডা মোক্কেল ,0
এই গানটোতকৈ কাউৰীৰ মাত ভাল।,0
এইবোৰৰ মাক বাপেক নাই নেকি,0
জুবিন দাৰ ডাঙৰ অনুৰাগী,1
ধন্যবাদ ইমান মধুৰ গীত এটি আমাক উপহাৰ দিয়াৰ বাবে,1
"দাদা গানটো ভুল হৈছে

",0
কোনোবাই ইমান বেয়া কেনেকৈ কৰিব পাৰে?,0
মই শব্দৰ বাহিৰত স্তম্ভিত হৈ ছোঁ। এই গানটো ইমান ভাল,1
চিৰসেউজ,1
"আগৰ গানবোৰ সচাঁই বহুত ভাল আছিল",1
আপোনাৰ সমান কোনো হব নোৱাৰে,1
অসমৰ এটা সম্পত্তি,1
গান টো ফালটো,0
"মহানন্দ মজিন্দাৰ বৰুৱা ,খগেন মহন্ত আদিৰ সেই পুৰণি বিহু গীত বোৰ শুনাৰ আমেজেই সুকীয়া",1
নিভাজ বিহু গীত,1
"মৰি যাম অ",0
ভালকৈ শুনি লবা যে গানটোত কি গাইছে,0
"নষ্ট কৰি দিলা।",0
কেৱল গানটোৰ অনুভৱ ভাল পাওঁ,1
তোমাৰ গান শুনিলে সকলো পাহৰি কোনোবা আলোক দিগন্ত ত বিলীন হৈ যাওঁ,1
আপোনাৰ গানটো গোবৰৰ দৰে,0
বুঢ়া শিয়াল,0
 মই মাত্ৰ ক'ব বিচাৰিছিলো যে এইটো এটা আটাইতকৈ বেয়া সংগীত ,0
ভাই আপুনি জুই,1
প্ৰিয় মোৰ এই গানটো।,1
তই গান গাবলৈ নাজানো,0
আই অই মই কতে মৰো অই,0
গোটেই খন একেবাৰে ছেটেৰিং কৰি পেলাইছে,0
আপোনি সদায় ৰাইজৰ মাজত থাকক বাকী আপোনাক জনপ্ৰিয়তাৰ শীষৰ্ত ৰখাতো আমাৰ দায়িত্ব ।,1
এইটো দেখি মই মৰিব বিচাৰো,0
কি সংবেদনশীল গান! শুনিলেই গাত এক জুৱাৰ উঠি আহে।এনে এটি গীত উপহাৰ দিয়াৰ বাবে ধন্যবাদ ।,1
জুবিন দা অ হোইটো নাজানে... কি গান বোনাই ডিলে তেওঁ।,1
এইটো ৰাস্তাৰ কাষত শৌচ কৰা হয়,0
কি ফালটো গান ,0
এতিয়ালৈকে আটাইতকৈ মূল্যহীন গান,0
ক্ৰিঞ্জ মানুহ,0
গান এৰি আন এটা কাম আৰম্ভ কৰক,0
 অসমীয়া বিহুৰ সন্মানত আঘাত হানিছে,0
জীৱন ৰিঙা ক্ষণত  পাপনদা তোমাৰ গীত মোৰে প্ৰাণত,1
দিশ্লিকে কৰা আৰম্ভ কৰক,0
শুনি শুনি আমনি নলগা গীতটি,1
হতাশাৰ পৰা পৰিত্ৰাণ পোৱা এটি গীত,1
আপুনি আৰু গান গাব নালাগে,0
বিশুদ্ধ সোণৰ দৰেই বিশুদ্ধ বিহু,1
অাৰু ভূলিত ও নহুনো যাৰ গান,0
মই এই গানটো বাৰে বাৰে বজাইছিলো,1
আমি তোমাক আৰু তোমাৰ গানবোৰ ভাল পাওঁ।,1
সেই ছোৱালীজনী চিকিৎসক নহয় তাইক এজন চিকিৎসকৰ প্ৰয়োজন।,0
অনুগ্ৰহ কৰি প্ৰথমে গান এটা গাবলৈ শিকক,0
মজ্জা লাগিল,1
ইমান ধুনীয়া মাত এই জনমত এনেকুৱা গায়ক নলাব,1
পোৰা নমুনা,0
কাতি বিহুৰ ক্ষণত লগাই অকলে নাচি আছো ৰুমতে,1
এবছৰত মাত্র এটা গান কিন্তু তামাম হীট.,1
টকাৰ কাৰণে কিমান তললৈকে যাবি হে,0
"বাপেৰোৰ মুৰ্তু গাইচো কেলা, গান তু শুনি বমি অহি গোল ছালা",0
এই ভন্দামীবোৰ বন্ধ কৰক,0
অসমীয়া বিহুৰ সন্মানত আঘাত হানিছে,0
লেতেৰা,0
কেছেট ৰ দিনত কিমান যে ৰি কৰি কৰি শুনিলো,1
তৃতীয় শ্ৰেণীৰ পোছাক,0
সুৱৰৰ বচ্ছা,0
সুৰটো এইটো গানৰ পৰা চোৰ কৰি অনা,0
ফালটো গান,0
মোৰ বন্ধুৱে এই ভিডিঅ'টো চোৱাৰ পিছত তেওঁৰ চকু দান কৰিছিল,0
জয় আই অসম,1
মোৰ মতে আজিৰ নৱ প্ৰজন্মই এইবোৰ শুনাতো ভাল,1
এই ফালতু গানটো কিয় আপলোড কৰা হৈছে,0
এই গানটো অনুভৱ কৰক,1
কবলৈ ভাষা নাই এনেদৰে সদায় জিলিকি থাকা,1
একে একে দুই এই গানটো জুই,1
ভাল হৈছে বন্ধু,1
এইয়াই হ'ল ৰোমাঞ্চ অৰ্থাৎ প্ৰেম নিবেদন কোনো অশ্লীলতা নাই কোনো অসভ্যালি নাই ভাৱৰ আদান প্ৰদান,1
পুৰণি স্বৰ্ণময়,1
এইটো গীত আমাৰ গাঁৱত বহুত চলে  বিয়া বিলাকত ,1
এনেকুৱা এটা উৎকৃষ্ট কৃতি,1
পশুতকৈও নীচ মানুহ,0
বন্ধ কৰ কেলা,0
"এইবাৰ মাঘৰ বিহুত লগাইছিলো, এতিয়াও পিঠিৰ বিষ ভাল হোৱা নাই",0
কবলে একো ভাষা নাই কুসুুম দা ইমান ভাল হইছে গানটো,1
পাছলেও এনে বিহু পোৱাৰ আশা ঠাকিল,1
কোটিমাৰা,0
যা তা গান লিখে,0
আপোনাৰ কিবা অসুখ বিসুখ হৈছে নেকি,0
এনেকুৱা গান আৰু কোনেও ওলাব নোৱাৰিৱ,1
 এই গীতটো শুনি মই এজন অসমী বুলি গৌৰৱান্বিত অনুভৱ কৰোঁ,1
মোৰ প্ৰেমিকাই মোৰ সৈতে বিচ্ছেদ কৰিছিল যেতিয়া তাই দেখিছিল যে মই এই গানটো শুনি আছো,0
চিৰসেউজীয়া নিপন গোস্বামী,1
এইটো ইমান বেয়া যে ই প্ৰকৃততে ধেমেলীয়া,0
এই গানটো শুনিলে শুনি থাকিবৰ মন যায়।ভাগৰুৱা দেহটিও যেন পলকতে ক্লান্ত হয় পৰে।,1
"অনুপম,অতুলনীয় অৱদান",1
ফাল্টু বুঢ়া,0
কুসুম দা তুমি জুই,1
চিৰ সেউজ বিহু গীত,1
কিছুমান ভুৱা নতুনত্বক অনুকৰণ কৰিব গৈ নিজৰ অস্তিত্বৰ হানি কৰা নিচিনা অনুভৱ হ'ল,0
কাৰ কাৰ এই গানটো এতিয়াও প্রিয়?,1
এই গীতটো শুনি মই অসমী বুলি আনক কবলৈ লাজ লাগে,0
বহুত ধুনীয়া,1
অনুগ্ৰহ কৰি মানসিক চিকিৎসালয়লৈ যাওক,0
পাগল হৈ গৈছো গানটো শুনি,0
কি আৰু... জী মন জয় তাকে গাই দিয়ে। .. আজি কালি।,0
"আহ! কি সুন্দৰ মাদকতা। কি সুন্দৰ ছন্দ,সুৰ ।",1
আপোনাৰ গীত বিলাক ধূমকেতুৰ দৰে আহে যিদৰে ধূমকেতু চাবলৈ ভাল লাগে ঠিক তেনেদৰে আপোনাৰ গীতবোৰ শুনি ভাল লাগে,1
বহুতেই বাৰ শুনিলোঁ.. বেলেগই এটা পৰশ পাওঁ ।,1
মূতি দিব মন গৈছে,0
এই গানটো শুনি মোৰ কাণে কাম কৰা নাই,0
মনোমোহা,1
আপুনি বুঢ়া অনুগ্ৰহ কৰি সোনকালে মৰিব,0
ভাল লাগিল অ সৰু কালৈ মনত পৰি গল অ,1
এদিন এজন অসমবাসীয়ে মোক এই গানটো শুনিবলৈ পৰামৰ্শ দিছিল। সঁচাকৈয়ে এই গানটো মোৰ বহুতো স্মৃতিৰ সৈতে সংলগ্ন,1
আপিতো ভাল লাগা নাই,0
এই গায়কজনক গ্ৰেপ্তাৰ কৰা প্ৰয়োজন,0
তহতি অসমখনশেষ কৰি দিলি,0
আপোনাৰ কণ্ঠস্বৰ এনেকুৱা যেন আপুনি এটা কৌতুক কৈ আছে,0
এনেকুৱা গান আৰু উপহাৰ দি যাব,1
প্ৰাচীন বাজে কথাৰ টুকুৰা,0
"অসমীয়া জাতিটো তোমালোকৰ দৰে কিছুমান মানুহৰ কাৰনে ৰসাতলে গৈছে,",0
মুখখন কুকুৰৰ দৰে দেখায়,0
 ইমান ভুল ভুল কৈ নাগাবা,0
অসাধাৰণ  গীত,1
মই তোমাক বহুত ভাল পাওঁ,1
চলা বান্দৰ টোৰ গান শুনিলে মোৰা মানুহ আকৌ জীয়াই উঠিব,0
এই গীতটোৱে অসমসংগীত উদ্যোগৰ পৰ্যায় আৰু দিশ সলনি কৰিছিল।,1
বহুত স্মৃতি থকা গান,1
কিমান ভাল লাগে বুজাবলৈ ভাষা নাই,1
প্ৰতিনিশা মই নিজকে অকলশৰীয়া অনুভৱ কৰিলে এই গানটো শুনো,1
আপুনি কেতিয়া মৰিৱ,0
ৰাস্তাৰ কাষত গাধ,0
এজন মানুহে মৃত্যুৰ সৈতে যুঁজি আছিল। মই এই গানটো বজাইছিলো আৰু তেওঁ সহজে মৃত্যুবৰণ কৰিছিল।,0
প্রভাতি পক্ষী ৰ আজি ডেউকা নাই নিমগ্ন  আন্ধাৰত দিশ হেৰাই,0
এই গানটো এটা অৰ্থ পূৰ্ণ গান,1
এই গ্ৰহটো এৰি যোৱাৰ সময়,0
অপছন্দ কৰিবলৈ দহ ছেকেণ্ড সময় লাগিছিল,0
বৰ্তমান ই আধুনিকতাৰ প্ৰভাৱত প্ৰায়  লুপ্তপ্ৰায়,0
"এটা শব্দই কৈছো ""মধুৰ""",1
আপোনাৰ কণ্ঠস্বৰ আপোনাৰ হৃদয়ৰ গভীৰৰ পৰা অহাযেন লাগিছে,1
চিৰসেউজ ীয়া গান,1
পাপন দাৰ যাদুকৰী কন্ঠই ইমানকৈ মন্ত্ৰমুগ্ধ কৰি ৰাখিলে যে গানটো কেতিয়া শেষ হৈ গল গমেই নাপালোঁ,1
নাপায় এনে কৰিব,0
এইটো আনকি এটা গান নেকি,0
ক'ৰ মক্কেল এইটো,0
"আহাহা কি অপূৰ্ব, কি মোহনীয়",1
গান চুৰ কৰা এৰি এটা টো গান নিজে বনা,0
ভাল লাগিল শুনি,1
কি যে মিঠা মিঠা,1
ঘন্টা,0
মোৰ মনে প্রাণে ছুই যোৱা গানবোৰ শুনিলে আজিও গাৰ ণোম শয়ৰী উঠে,1
কুকুৰ এইটো বিষ্ঠা গান,0
"শুনিয়েই আছো, শুনিয়েই আছো, শুনিয়েই আছো",1
এটা গান শুনা যেন লাগিল।‌‌,1
কথা বন্ধ কৰা,0
সুদমাৰানি,0
শিক্ষাহীন ব্যক্তি,0
একদম ফকতিয়া,0
"মানিব লাগিৱ দেই, চুৰি কৰা টেলেণ্ট কম টেলেণ্ট নহয়, এনেকৈ চুৰি গান গাই টুপি পিন্ধাই মঞ্চৰ পৰা লাখ লাখ টকা দাবী কৰি অাহিছ নিৰ্লজ্জ",0
আগৰ বিহু গীত বহুত সুন্দৰ আছিল,1
ই মন্ত্ৰমুগ্ধ কৰে,1
এনেকুৱা গীত কুসুম দাৰ পৰা পাম বুলি  আশা কৰিছিলোঁ । আজি অপেক্ষা অন্তৰ পৰিল,1
অপুনাৰ নিজোৰ সৃজনশীলতা নাই নে সব গান চুৰ কোৰে জে,0
আপুনি কৰ্কট ৰোগ,0
গান গাইছে ছা না,0
এইটো এটা বেয়া গান,0
সৰুতে মূৰত দূখ পাইছিলা নেকি বাৰু ,0
"হৃদয় চুই যোৱা এটি গান , এটি  অসমীয়া গান",1
"শব্দৰ গভীৰতাই গীতৰ মানদণ্ড উন্নত কৰে,পিছে গীতটোত শব্দতকৈ কটু কিবাকিবি বোৰেহে প্ৰাধান্য পোৱা যেন অনুভৱ হ'ল,শব্দৰ স্হান একেবাৰে শেষত যেন হে লাগিল",0
কা কা কৰি ৫জনক মাৰি তই কেতিয়াও সুখী হৈ থাকিব নোৱাৰা ৷ ধিক ধিক,0
 বাংলাদেশি চৰকাৰ বালৰ গান,0
তই মৰি জা না বে ঠাকুৰীয়া বুলি কলে লাজ পোৱা হৈছে টোৰ কাৰণে,0
একদম ফালটো জণ্ডিচ হৈছে নেকি তোৰ ঢুকুৰা,0
যদি আপুনি এই গানটো শুনি আছে। মই মাত্ৰ ক'ব বিচাৰিছিলো যে আপোনাৰ সংগীতৰ সোৱাদ আটাইতকৈ বেয়া।,0
গানটো ইমান ভাল লাগিল যে 50 ছেকেণ্ড চায়ে সামৰিলো,0
লাজ নালাগে তুৰ,0
ভাল ভিদিঅ,1
এইবোৰ বিহুগান এটুকুৰা হীৰা,1
বহুত ভাল লাগে  এনেকুৱা পুৰণি অসমীয়া গীতৰসমূহ ।,1
সুৱদিসুৰীয়া।,1
এই ভিডিঅ'টো চোৱাৰ পিছত মই মোৰ নাম পাহৰি যাওঁ,0
মই বুজি নাপাওঁ যে মই এই সম্পূৰ্ণ ভিডিঅ'টো কেনেকৈ চাওঁ,0
কোনে কোনে দিশ্লিকে কৰিব আহিছে,0
এই ধৰণৰ গান শুনি গায়কে আত্মহত্যা কৰিব,0
এই গানটো সদায় ভাল পাওঁ,1
সকলোৱে সমালোচনা কৰি আছে,0
এনে লাগিছে গানটোত থকা শব্দ বোৰ প্ৰথম বাৰ শুনিছোঁ,1
 প্ৰকৃত সৌন্দৰ্য বা মাদকতা কৰবাত হেৰাই গৈছে,0
সুৰৰ নামত অসুৰ,0
এই সংগীতটো শুনিবলৈ ইমান শান্তিপূৰ্ণ।,1
"শব্দ, কথা সুৰ কি কম ভাষা নাই",1
আপ কিয়া বেয়া গান গাতাহে বাপাৰে,0
আক থু গান,0
এইয়াহে প্ৰকৃত বিহু,1
আটাইতকৈ সস্তা গান,0
ধুনীয়া গীত।,1
যিসকলে এইটো দেখে তেওঁলোকৰ বাবে মই বেয়া অনুভৱ কৰিআছো,0
দুটা লাইন শুনি অ কাটি দিলোঁ,0
গান গাবলৈ এৰি দিয়ক ,0
দৰ্শনীয় প্ৰদৰ্শন,1
অসমীয়া পুৰণি গীত বোৰ সকলো সময়তে শুনি থাকো বহুত ভাল লাগে ।,1
নগাব বে এইবোৰ মানুহ মৰিব,0
হৃদ়স্পৰ্শী  সঁচাকৈ যান্তিকতা মাজত লুকাই যোৱা মানুহ বোৰে তোমালোকৰ কথা আৰু সুৰ বিলাকত নিজকে বিচাৰি পাই,1
ভাল লাগিল।,1
আশা কৰো সকলোৱে যাতে গীতটো আদৰি লয়,1
এই মানুহবোৰে কিয় জন্ম লয়,0
অসমৰ সংগীত জগতৰ ভৱিষ্যত সুৰক্ষিত লোকৰ হাতত।,1
আপোনাৰ গানটো নইচ প্ৰদূষণৰ দৰে ,0
গানটোৰ বাবে অ-অসমী সম্প্ৰদায়ে ইতিবাচক প্ৰতিক্ৰিয়া প্ৰকাশ কৰা দেখি মই বহুত গৌৰৱান্বিত অনুভৱ কৰোঁ,1
মই মৰিবলৈ গৈ আছো,0
আপোনাৰ ক্লাছ মুঠেই নাই এইটো গানত। আপোনাৰ মানদণ্ড ইয়াতকৈ বহুত ওপৰত,0
"অসমীযা জাতিৰ অধপতন লৈ যাবি নেকি",0
বান্দৰ,0
পুৰণি অসমীয়া গীতৰ তুলনা নাই,1
এই গানটো বেলেগ ধৰণৰ বেদনা দিয়ে ,1
তুমি গালে বমি লাগে,0
বেয়া হৈছে,0
"অতি সুন্দৰ এটি গীত যেন মোৰ মন মোহি পেলালে, এতিয়া শুনিব পোৱাটো ভাগ্যৰ কথা।
",1
মৰিজা তই কেলা তাত আমাৰ কি আহে যায় সুদুৰ ভাই,0
আমি শিল্পীসমূহক ইতিকিং নকৰি উৎসাহ প্ৰদান কৰা উচিত,1
অতীব্র সুন্দৰ।,1
আজি কালি বজৰোৱা কিছুমানে বিহু গীত বুলি নাম দিয়ে কিন্তু তাত কোনো বিহুৰ মাদকতা নাথাকে থাকে মাথো কিছুমান বজৰোৱা শব্দ,0
অপূৰ্ব,1
বালৰ বিদেও বনাইছোঁ,0
এয়াহে আচল বিহু।,1
এইবিলাক ফাল্টু গানে অসমীয়া চলচিত্ৰ জগতখন শেষ কৰি দিলে,0
গানটো শুনাৰ লগে লগে শৈশৱ  কাললৈ মনত পৰি গ'ল। সচাই বৰ মধুৰ আছিল সেই দিনবোৰ,1
পাগল কুকুৰে কামুৰিছিল নেকি,0
ৰসাতলে যাব সময় হল,0
কাম নাই তোমাৰ,0
সচাকৈয়ে গৌৰৱ বোধ কৰিছো,1
তোমালোকৰ কাম নাই নেকি,0
বিচেৰি বিচেৰি গানটো কিবাকে পালো,1
অসমীয়া চলচিত্ৰ জগতৰ এটি কালজয়ী গীত....,1
এই গানটো চোৱাৰ পিছত মই মূৰ্ছা গৈছিলো,0
"ফকটিয়া ছাল্লা, ঐ কেলা",0
শুনি শুনি আমনি নলগা এটি গীত,1
মই এটাও অসমশব্দ নাজানো কিন্তু এই গীতটোৱে মোক উপলব্ধি কৰাইছিল যে সংগীত সকলো ভাষাৰ বাধাৰ বাহিৰত,1
ভাল নাই লগা,0
পাগল,0
ফালটো হৈছে,0
ৰাহুল কুকুৰক পালে তাক মই তাতে কাতিম কি গান গাবলৈ আহি ছ,0
ৰাতিপুৱা ভাল লাগি গল মজ্জা,1
"তেতিয়াৰ বিহু আৰু এতিয়াৰ মাজত পাৰ্থক্ক",0
এই ভিডিঅ'টো চোৱাৰ পিছত কৰোনা ভাইৰাছে ভাৰত ত্যাগ কৰিব,0
"সুন্দৰ সংগীত , সুন্দৰ কথা , সুন্দৰ কণ্ঠ",1
ভাল লগিছে  ,1
কি সুমধুৰ গীত।ভাল লাগিল,1
কি পাগল,0
মৰম নীল আকশ দা,1
মাইৰেক্সুদা এইবোৰ বিদেও নিদিবা অ,0
তুমি মানুহ ৰূপী আৱৰ্জনা,0
এইটো সঁচাকৈয়ে এটা গান নেকি,0
আপোনাৰ পৰা এনে গীত আশা কৰা নাছিলো,0
অকলে থাকিলে এই গানটো মোৰ প্ৰিয়,1
"কটা নিধক হত, তহঁত ৰৌ ৰৌ নৰকত পচি মৰ।",0
সঁচাই সুন্দৰ হৈছে অসমৰ অন্য এক নক্ষত্ৰ জন্ম হল,1
নিজস্বতা নাথাকিলে অস্তিত্ব বুলিও কোনো কথা নাথাকে,0
নতুন গানৰ চিন্তা কৰিব পৰা অক মাত্ৰ শিল্পী জন হল কুসুমদা।,1
ভাল দিন এটা সাই মৰি যাওক,0
অসম খন বেছি ভাগ নমুনা দি ভৰি পৰিছে,0
মই অসমী নহয় কিন্তু কেনেবাকৈ মই এই ভাষাটো ভাল পাওঁ। মই ইয়াক শিকিব বিচাৰো,1
জাতনাম আৰু শৃংখলিত সৰল নৃত্য।,1
তোৰ মাথা নাই নেকি,0
আপুনি এজন মানসিক ৰোগী,0
বৰ বেয়া গান,0
বাপেৰৰ মাৰৰ মূৰটো,0
জুবিনৰ সদায় শুনিব পৰা গীত,1
এই গানটোৱেই মোক পুনৰ নতুন অসমী গান শুনিবলৈ বাধ্য কৰিছিল,1
সৰ্বকালৰ প্ৰিয়,1
ককা আপুনি ছোৱালী জনিক কিমান টকা দিছে অভিনয় কৰিবলৈ,0
